sec_id,ticker,name,query_term,entity_name,file_date,headline,source_url,form_type,event_text,event_type
33152,AEE,Ameren Corp.,AEE,Ameren Corp.,2026-02-11,AMEREN CORP  (AEE)  (CIK 0001002910),https://efts.sec.gov/LATEST/search-index?q=%22AEE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, AMEREN CORP  (AEE)  (CIK 0001002910)  2.02 8.01 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,"Apollo Commercial Real Estate Finance, Inc.  (ARI)  (CIK 0001467760)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Apollo Commercial Real Estate Finance, Inc.  (ARI)  (CIK 0001467760)  2.02 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,"CHIMERA INVESTMENT CORP  (CIM, CIMN, CIMO, CIMP, CIM-PA, CIM-PB, CIM-PC, CIM-PD)  (CIK 0001409493)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," CHIMERA INVESTMENT CORP  (CIM, CIMN, CIMO, CIMP, CIM-PA, CIM-PB, CIM-PC, CIM-PD)  (CIK 0001409493)  2.02 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,"CID Holdco, Inc.  (DAIC, DAICW)  (CIK 0002033770)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," CID Holdco, Inc.  (DAIC, DAICW)  (CIK 0002033770)  1.01 2.03 3.01 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,EQUINIX INC  (EQIX)  (CIK 0001101239),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, EQUINIX INC  (EQIX)  (CIK 0001101239)  8.01 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,"Energy Vault Holdings, Inc.  (NRGV)  (CIK 0001828536)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Energy Vault Holdings, Inc.  (NRGV)  (CIK 0001828536)  1.01 8.01 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,"Evergy, Inc.  (EVRG)  (CIK 0001711269)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Evergy, Inc.  (EVRG)  (CIK 0001711269)  1.01 1.02 2.03 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,"FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE  (FNMA, FNMAG, FNMAH, FNMAI, FNMAJ, FNMAK, FNMAL, FNMAM, FNMAN, FNMAO, FNMAS, FNMAT, FNMFM, FNMFN)  (CIK 0000310522)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE  (FNMA, FNMAG, FNMAH, FNMAI, FNMAJ, FNMAK, FNMAL, FNMAM, FNMAN, FNMAO, FNMAS, FNMAT, FNMFM, FNMFN)  (CIK 0000310522)  2.02 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,GETTY REALTY CORP /MD/  (GTY)  (CIK 0001052752),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, GETTY REALTY CORP /MD/  (GTY)  (CIK 0001052752)  7.01 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,MCDONALDS CORP  (MCD)  (CIK 0000063908),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, MCDONALDS CORP  (MCD)  (CIK 0000063908)  2.02 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,"MILLERKNOLL, INC.  (MLKN)  (CIK 0000066382)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," MILLERKNOLL, INC.  (MLKN)  (CIK 0000066382)  1.01 2.03 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,"MSA Safety Inc  (MSA, MNESP)  (CIK 0000066570)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," MSA Safety Inc  (MSA, MNESP)  (CIK 0000066570)  2.02 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,"NABORS INDUSTRIES LTD  (NBR, NBRWF)  (CIK 0001163739)",https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," NABORS INDUSTRIES LTD  (NBR, NBRWF)  (CIK 0001163739)  2.02 9.01",other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP  (WAB)  (CIK 0000943452),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP  (WAB)  (CIK 0000943452)  2.02 7.01 9.01,other
34926,C,Citigroup Inc,C,Citigroup Inc,2026-02-11,WORLD OMNI AUTO RECEIVABLES LLC  (CIK 0001083199) World Omni Auto Receivables Trust 2026-A  (CIK 0002104367),https://efts.sec.gov/LATEST/search-index?q=%22C%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, WORLD OMNI AUTO RECEIVABLES LLC  (CIK 0001083199) World Omni Auto Receivables Trust 2026-A  (CIK 0002104367)  1.01 8.01 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-11,Anterix Inc.  (ATEX)  (CIK 0001304492),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, Anterix Inc.  (ATEX)  (CIK 0001304492)  2.02 7.01 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-11,"BankUnited, Inc.  (BKU)  (CIK 0001504008)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," BankUnited, Inc.  (BKU)  (CIK 0001504008)  7.01 9.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-11,"CULLEN/FROST BANKERS, INC.  (CFR, CFR-PB)  (CIK 0000039263)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," CULLEN/FROST BANKERS, INC.  (CFR, CFR-PB)  (CIK 0000039263)  7.01 9.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-11,"Crane NXT, Co.  (CXT)  (CIK 0000025445)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," Crane NXT, Co.  (CXT)  (CIK 0000025445)  2.02 9.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-11,DARLING INGREDIENTS INC.  (DAR)  (CIK 0000916540),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, DARLING INGREDIENTS INC.  (DAR)  (CIK 0000916540)  2.02 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-11,EQUINIX INC  (EQIX)  (CIK 0001101239),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, EQUINIX INC  (EQIX)  (CIK 0001101239)  8.01 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-11,"GLADSTONE INVESTMENT CORPORATION\DE  (GAIN, GAINI, GAINN, GAINZ)  (CIK 0001321741)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," GLADSTONE INVESTMENT CORPORATION\DE  (GAIN, GAINI, GAINN, GAINZ)  (CIK 0001321741)  1.01 9.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-11,HUMANA INC  (HUM)  (CIK 0000049071),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, HUMANA INC  (HUM)  (CIK 0000049071)  2.02 7.01 9.01,other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-11,"HeartCore Enterprises, Inc.  (HTCR)  (CIK 0001892322)",https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K," HeartCore Enterprises, Inc.  (HTCR)  (CIK 0001892322)  2.02 9.01",other
35701,DE,Deere & Co.,DE,Deere & Co.,2026-02-11,Ingredion Inc  (INGR)  (CIK 0001046257),https://efts.sec.gov/LATEST/search-index?q=%22DE%22&forms=8-K&dateRange=custom&startdt=2026-02-11&enddt=2026-02-20,8-K, Ingredion Inc  (INGR)  (CIK 0001046257)  8.01,other
